학교명,주소,위도,경도,행정동,그룹,규제표지,보조표지,주의표지,지시표지,차로수,신호등개수,도로폭,보차분리비율,안전도지수
곽금초등학교,제주특별자치도 제주시 애월읍 일주서로 6000,33.4718081,126.3669635,애월읍,2,6,13,5,7,3.1429,25,11,1,0.0107
광령초등학교,제주특별자치도 제주시 애월읍 광성로 276,33.4599043,126.436881,애월읍,3,2,13,8,4,2,1,14,1,0.0025
구엄초등학교,제주특별자치도 제주시 애월읍 일주서로 6768,33.4718081,126.3669635,애월읍,2,3,15,4,3,3.125,23,17.8443,0,0.0144
귀덕초등학교,제주특별자치도 제주시 한림읍 귀덕14길 14-5,33.4415894,126.293831,한림읍,3,1,8,3,5,3.1429,4,17.9463,0,0.0045
금악초등학교,제주특별자치도 제주시 한림읍 금악남2길 1,33.3563994,126.295574,한림읍,1,5,9,16,19,2,2,10,0,0.0134
남광초등학교,제주특별자치도 제주시 남광로 28,33.4933307,126.5385113,이도2동,2,23,33,3,14,2.0938,22,12,1,0.0315
남원초등학교,제주특별자치도 서귀포시 남원읍 태위로 647,33.2786176,126.715756,남원읍,1,5,19,13,0,2,6,11.4204,1,0.0454
납읍초등학교,제주특별자치도 제주시 애월읍 납읍로2길 47,33.435376,126.330862,애월읍,3,2,19,4,0,2.2735,3,12.8125,1,0
노형초등학교,제주특별자치도 제주시 노형로 383,33.4609997,126.4483078,노형동,2,24,28,10,9,3.1538,21,8,1,0.0178
대흘초등학교,제주특별자치도 제주시 조천읍 중산간동로 677,33.4988171,126.6589735,조천읍,3,0,5,7,2,2,1,11.4204,1,0.0038
더럭초등학교,제주특별자치도 제주시 애월읍 하가로 195,33.4570091,126.3496515,애월읍,2,8,22,5,16,2.9231,15,10,0,0.0025
도남초등학교,제주특별자치도 제주시 도남로8길 22,33.4947332,126.5270885,이도2동,1,11,24,7,14,1,3,6,1,0.0327
동광초등학교,제주특별자치도 제주시 태성로 6,33.5010487,126.5486318,일도2동,1,9,25,5,7,1.7143,3,12,1,0.0118
동화초등학교,제주특별자치도 제주시 동화로1길 44,33.5195622,126.5746339,화북동,2,23,23,14,25,3.3,20,12,1,0.0416
물메초등학교,제주특별자치도 제주시 애월읍 엄수로 202-4,33.4688411,126.3890689,애월읍,3,1,10,3,2,2,3,11,1,0
백록초등학교,제주특별자치도 제주시 정존5길 62,33.4863209,126.4702561,노형동,1,10,21,15,6,2.3,3,18,1,0.0081
북촌초등학교,제주특별자치도 제주시 조천읍 일주동로 1481,33.5340956,126.643635,조천읍,2,4,10,4,4,4,7,22.8407,1,0.0142
삼화초등학교,제주특별자치도 제주시 화삼북로2길 27,33.5158008,126.5764242,화북동,2,14,21,6,21,3.9333,31,30,1,0.0473
선흘초등학교,제주특별자치도 제주시 조천읍 선흘동1길 41,33.514913,126.704897,조천읍,3,3,7,0,0,0.7005,3,4,0,0
수원초등학교,제주특별자치도 제주시 한림읍 한림로 822,33.4214574,126.2640719,한림읍,3,3,13,6,2,2,1,14,1,0.0167
신광초등학교,제주특별자치도 제주시 성신로 25,33.4919594,126.4833136,연동,1,12,28,9,11,1.375,3,14,0.6667,0.0092
신례초등학교,제주특별자치도 서귀포시 남원읍 중산간동로 7116,33.3062454,126.6863229,남원읍,1,15,41,38,0,2,3,11,1,0
신제주초등학교,제주특별자치도 제주시 비월길 29,33.4840535,126.4971964,연동,1,8,23,7,13,1.8,3,10,1,0.0095
신촌초등학교,제주특별자치도 제주시 조천읍 신북로 51,33.5339816,126.619352,조천읍,1,10,13,9,12,2,1,11.4204,1,0.0207
아라초등학교,제주특별자치도 제주시 중앙로 518,33.4661943,126.5490431,아라동,2,7,21,8,6,2.5217,19,15,1,0.0564
애월초등학교,제주특별자치도 제주시 애월읍 애월로 139-10,33.4653037,126.321703,애월읍,3,1,15,4,9,1.9091,3,12.5,1,0.0076
어도초등학교,제주특별자치도 제주시 애월읍 봉성로 76,33.4198339,126.312994,애월읍,3,2,12,6,6,2,1,13,0.6667,0.0068
영평초등학교,제주특별자치도 제주시 아봉로 225,33.4687876,126.5749044,아라동,2,2,6,0,4,4,13,22.8407,1,0.0129
월랑초등학교,제주특별자치도 제주시 남녕로 63,33.4909744,126.4805316,노형동,3,8,23,2,3,2.2778,3,14.5,0.6667,0.0153
위미초등학교,제주특별자치도 서귀포시 남원읍 태위로 57,33.2737684,126.652765,남원읍,1,33,19,3,0,2,3,11.4204,0,0.0046
의귀초등학교,제주특별자치도 서귀포시 남원읍 한신로 213,33.3107343,126.7158475,남원읍,3,2,11,11,0,2,2,13,1,0.0046
