학교,클러스터,2-4 집에서 학교로 갈 때 교통사고나 안전사고 위험은 어느 정도라고 생각하나요,3-5 표시한 길에서 교통사고와 안전사고 위험은 어느 정도라고 생각하나요,7-1 차가 다닐 수 있는 골목길에서 숨바꼭질 등의 놀이를 했다,7-2 차가 다니는 도로 옆에서 친구들과 놀이를 했다,7-3 주차된 차 근처에서 놀이를 했다,7-4 찻길 건너편에서 친구가 불렀을 때 바로 친구에게 건너갔다,7-5 늦어서 횡단보도를 뛰어서 건넜다,7-6 초록불로 바뀌자마자 바로 건넜다,7-7 근처 횡단보도에서 초록 신호등이 깜빡일 때 횡단보도로 뛰어가서 건넜다,7-8 타는 버스를 놓칠까봐 찻길을 바로 건넜다,7-9 버스에서 내릴 때 급하게 내렸다,7-10 급하게 버스에서 내려 길 반대편으로 바로 건넜다,7-11 자전거 도로가 아닌 곳에서 자전거를 탔다,7-12 헬멧을 벗고 자전거를 탔다,7-13 자전거를 탄 채로 횡단보도를 건넜다
광령초등학교,3,위험한 편,보통,가끔 그랬다,가끔 그랬다,자주 그랬다,가끔 그랬다,그런 적이 없다,자주 그랬다,자주 그랬다,자주 그랬다,가끔 그랬다,그런 적이 없다,그런 적이 없다,가끔 그랬다,가끔 그랬다
광령초등학교,3,안전한 편,보통,그런 적이 없다,그런 적이 없다,가끔 그랬다,그런 적이 없다,자주 그랬다,자주 그랬다,자주 그랬다,그런 적이 없다,그런 적이 없다,그런 적이 없다,그런 적이 없다,그런 적이 없다,그런 적이 없다
광령초등학교,3,보통,잘 모르겠음,가끔 그랬다,가끔 그랬다,가끔 그랬다,자주 그랬다,가끔 그랬다,자주 그랬다,자주 그랬다,자주 그랬다,가끔 그랬다,자주 그랬다,그런 적이 없다,가끔 그랬다,가끔 그랬다
광령초등학교,3,보통,보통,그런 적이 없다,가끔 그랬다,그런 적이 없다,가끔 그랬다,그런 적이 없다,가끔 그랬다,그런 적이 없다,그런 적이 없다,그런 적이 없다,가끔 그랬다,그런 적이 없다,그런 적이 없다,그런 적이 없다
광령초등학교,3,안전한 편,안전한 편,그런 적이 없다,그런 적이 없다,가끔 그랬다,가끔 그랬다,그런 적이 없다,가끔 그랬다,그런 적이 없다,그런 적이 없다,그런 적이 없다,그런 적이 없다,그런 적이 없다,그런 적이 없다,그런 적이 없다
광령초등학교,3,안전한 편,보통,가끔 그랬다,가끔 그랬다,가끔 그랬다,자주 그랬다,자주 그랬다,자주 그랬다,자주 그랬다,가끔 그랬다,가끔 그랬다,가끔 그랬다,그런 적이 없다,자주 그랬다,그런 적이 없다
광령초등학교,3,보통,안전한 편,그런 적이 없다,그런 적이 없다,그런 적이 없다,그런 적이 없다,가끔 그랬다,가끔 그랬다,가끔 그랬다,그런 적이 없다,그런 적이 없다,그런 적이 없다,그런 적이 없다,자주 그랬다,자주 그랬다
광령초등학교,3,안전한 편,안전한 편,그런 적이 없다,가끔 그랬다,가끔 그랬다,가끔 그랬다,가끔 그랬다,자주 그랬다,그런 적이 없다,그런 적이 없다,그런 적이 없다,그런 적이 없다,가끔 그랬다,자주 그랬다,그런 적이 없다
광령초등학교,3,보통,매우 안전,그런 적이 없다,그런 적이 없다,자주 그랬다,그런 적이 없다,가끔 그랬다,가끔 그랬다,가끔 그랬다,그런 적이 없다,그런 적이 없다,그런 적이 없다,가끔 그랬다,가끔 그랬다,그런 적이 없다
광령초등학교,3,위험한 편,위험한 편,그런 적이 없다,그런 적이 없다,그런 적이 없다,그런 적이 없다,가끔 그랬다,그런 적이 없다,그런 적이 없다,그런 적이 없다,그런 적이 없다,그런 적이 없다,가끔 그랬다,자주 그랬다,그런 적이 없다
